epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.94192,1.81824,3.63855,1.55724,0.01595,0.32489,0.08483,0.07352,1.05714,3.71949,1.27206,9.999e-05,9.999e-05,9.999e-05
2,5.48301,1.47613,2.77693,1.3796,0.03964,0.37286,0.16772,0.13376,1.16682,3.32757,1.21873,0.000209697,0.000209697,0.000209697
3,7.03636,1.31376,2.26083,1.31638,0.05231,0.51202,0.30608,0.28108,1.00894,3.31529,1.15264,0.000317937,0.000317937,0.000317937
4,8.49941,1.29269,2.0192,1.33562,0.02377,0.56138,0.29032,0.24993,1.0485,3.32241,1.16662,0.000424711,0.000424711,0.000424711
5,9.94174,1.22921,1.74592,1.28797,0.94049,0.03333,0.3364,0.28154,1.10418,3.0528,1.21904,0.000530018,0.000530018,0.000530018
6,11.3935,1.17798,1.59071,1.27113,0.42644,0.10235,0.35162,0.30718,1.10546,2.67189,1.2149,0.000633859,0.000633859,0.000633859
7,12.8929,1.18074,1.51069,1.24984,0.37503,0.31694,0.3543,0.30455,1.19132,2.40486,1.25336,0.000736233,0.000736233,0.000736233
8,14.3645,1.17158,1.47742,1.25625,0.44439,0.54938,0.41381,0.36336,1.15391,2.09419,1.29451,0.000837141,0.000837141,0.000837141
9,15.8708,1.16411,1.42418,1.25741,0.47749,0.48805,0.4579,0.33587,1.15035,1.83766,1.26119,0.000936582,0.000936582,0.000936582
10,17.3409,1.1056,1.4183,1.24504,0.3144,0.4194,0.44893,0.37824,1.13254,1.82581,1.30523,0.00103456,0.00103456,0.00103456
11,18.8667,1.1668,1.42205,1.26521,0.47311,0.52026,0.48304,0.43698,1.13066,1.65284,1.29628,0.00103767,0.00103767,0.00103767
12,20.3588,1.10141,1.33767,1.25314,0.44664,0.54659,0.43462,0.39918,1.05659,2.17662,1.23211,0.00103034,0.00103034,0.00103034
13,21.9042,1.12942,1.33466,1.25598,0.45635,0.46195,0.47815,0.41659,1.11967,1.64818,1.21932,0.00102301,0.00102301,0.00102301
14,23.4002,1.13715,1.3318,1.25432,0.56244,0.47139,0.53469,0.45626,1.04065,1.48369,1.21486,0.00101568,0.00101568,0.00101568
15,24.9103,1.10987,1.3061,1.24673,0.50322,0.38121,0.43538,0.36919,1.06337,1.5716,1.24625,0.00100834,0.00100834,0.00100834
16,26.4188,1.07039,1.23501,1.2043,0.44069,0.48779,0.4901,0.40841,0.98022,1.44998,1.21008,0.00100101,0.00100101,0.00100101
17,27.9077,1.05756,1.25043,1.20525,0.4934,0.46728,0.50055,0.42295,1.00883,1.34635,1.19327,0.000993678,0.000993678,0.000993678
18,29.383,1.02077,1.20629,1.18755,0.47523,0.60615,0.50218,0.44954,0.96047,1.35663,1.15703,0.000986346,0.000986346,0.000986346
19,30.8402,1.02082,1.24563,1.19994,0.5338,0.58148,0.58638,0.50076,0.97775,1.291,1.17084,0.000979013,0.000979013,0.000979013
20,32.3319,1.02551,1.24231,1.182,0.65021,0.65868,0.66271,0.58315,0.88966,1.12214,1.1056,0.000971681,0.000971681,0.000971681
21,33.8126,1.00757,1.17133,1.19006,0.59528,0.67535,0.63915,0.5522,0.85047,1.16142,1.0915,0.000964348,0.000964348,0.000964348
22,35.2591,0.97964,1.1759,1.16606,0.66404,0.63259,0.66209,0.58929,0.87284,1.10037,1.15726,0.000957015,0.000957015,0.000957015
23,36.7318,1.03851,1.22828,1.22198,0.69926,0.55538,0.61246,0.54725,0.91379,1.24004,1.19188,0.000949683,0.000949683,0.000949683
24,38.2257,1.02449,1.23429,1.20928,0.50716,0.56998,0.53522,0.46082,0.91589,1.30651,1.15046,0.00094235,0.00094235,0.00094235
25,39.731,1.01096,1.17715,1.20389,0.44723,0.54475,0.48912,0.427,0.85014,1.53785,1.12508,0.000935018,0.000935018,0.000935018
26,41.245,1.00246,1.16858,1.17972,0.77567,0.55466,0.64856,0.56633,0.84477,1.37761,1.14875,0.000927685,0.000927685,0.000927685
27,42.7341,0.98865,1.14784,1.17883,0.69304,0.67851,0.68099,0.59538,0.90441,1.18992,1.15295,0.000920352,0.000920352,0.000920352
28,44.2069,1.01197,1.1597,1.21875,0.86259,0.56915,0.66726,0.57825,0.86222,1.14694,1.13726,0.00091302,0.00091302,0.00091302
29,45.667,1.00289,1.18483,1.18828,0.74766,0.56878,0.65129,0.56634,0.92298,1.28365,1.17657,0.000905687,0.000905687,0.000905687
30,47.1336,1.03829,1.19369,1.20176,0.72032,0.6398,0.6477,0.57549,0.87609,1.18831,1.16004,0.000898355,0.000898355,0.000898355
31,48.5891,0.98139,1.13813,1.19518,0.78279,0.6372,0.66673,0.58823,0.86227,1.1035,1.14353,0.000891022,0.000891022,0.000891022
32,50.0662,0.96781,1.14035,1.18342,0.72345,0.6594,0.68267,0.59499,0.81562,1.03896,1.11474,0.000883689,0.000883689,0.000883689
33,51.5199,0.97231,1.15669,1.16875,0.61809,0.65402,0.67588,0.59456,0.8121,1.07503,1.09821,0.000876357,0.000876357,0.000876357
34,52.9707,0.92048,1.08925,1.1478,0.6063,0.63867,0.68339,0.59713,0.77771,1.05459,1.07497,0.000869024,0.000869024,0.000869024
35,54.4556,1.02287,1.13578,1.21563,0.6151,0.64554,0.68663,0.60825,0.78611,1.02814,1.09395,0.000861692,0.000861692,0.000861692
36,55.9528,0.99654,1.14735,1.19521,0.55942,0.67231,0.66867,0.59053,0.81346,1.05795,1.11507,0.000854359,0.000854359,0.000854359
37,57.4369,0.88698,1.0225,1.10122,0.60176,0.65722,0.67562,0.59212,0.82134,1.04946,1.10673,0.000847026,0.000847026,0.000847026
38,58.9236,0.96315,1.07098,1.16335,0.85164,0.59147,0.6857,0.58056,0.824,1.00059,1.10136,0.000839694,0.000839694,0.000839694
39,60.4585,0.92354,1.01656,1.10715,0.6459,0.67379,0.71103,0.61214,0.83912,0.97438,1.08247,0.000832361,0.000832361,0.000832361
40,61.9977,0.9084,1.02912,1.14627,0.59918,0.68269,0.69592,0.61507,0.77903,0.98191,1.06017,0.000825029,0.000825029,0.000825029
41,63.5107,0.91031,1.0409,1.12496,0.84943,0.61007,0.68862,0.60765,0.82415,0.98391,1.08426,0.000817696,0.000817696,0.000817696
42,65.0094,0.92843,1.07919,1.15666,0.85905,0.57053,0.68636,0.61066,0.78523,1.02137,1.10147,0.000810363,0.000810363,0.000810363
43,66.5033,0.91111,1.02158,1.12174,0.86691,0.59248,0.6921,0.61081,0.79867,1.06627,1.11466,0.000803031,0.000803031,0.000803031
44,67.9961,0.94079,1.09007,1.18791,0.80504,0.62872,0.67385,0.5986,0.81976,1.08932,1.12897,0.000795698,0.000795698,0.000795698
45,69.4992,0.93763,1.03271,1.1549,0.59091,0.62566,0.61782,0.55759,0.81556,1.07518,1.11958,0.000788366,0.000788366,0.000788366
46,71.0742,0.93749,1.05682,1.16569,0.61447,0.63125,0.6399,0.55658,0.79621,0.97456,1.09255,0.000781033,0.000781033,0.000781033
47,72.5885,0.86048,0.98079,1.10124,0.77165,0.67183,0.72107,0.62456,0.80359,0.95501,1.09397,0.0007737,0.0007737,0.0007737
48,74.0922,0.92229,1.06388,1.16021,0.78396,0.67252,0.71033,0.62255,0.78314,0.98977,1.07868,0.000766368,0.000766368,0.000766368
49,75.5577,0.83402,0.96308,1.08145,0.74507,0.65995,0.64173,0.55518,0.802,1.05922,1.08491,0.000759035,0.000759035,0.000759035
50,77.0364,0.90109,1.0253,1.1249,0.67528,0.68634,0.70418,0.62806,0.80722,1.02385,1.11008,0.000751703,0.000751703,0.000751703
51,78.5461,0.86986,1.01419,1.11291,0.7498,0.64884,0.70775,0.61989,0.79073,0.94856,1.07497,0.00074437,0.00074437,0.00074437
