epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.5614,2.02112,4.35904,1.6701,0.13272,0.11048,0.0787,0.06461,1.6608,3.63434,1.49104,7.777e-05,7.777e-05,7.777e-05
2,7.14994,1.35806,2.22514,1.31414,0.75591,0.36679,0.40188,0.35046,1.0118,1.76072,1.13424,0.000165825,0.000165825,0.000165825
3,9.38901,1.16647,1.467,1.24683,0.68365,0.42264,0.41192,0.36264,0.86296,1.41155,1.11792,0.000253,0.000253,0.000253
4,11.639,1.09985,1.33337,1.23259,0.7837,0.52513,0.57434,0.49754,1.00942,1.4152,1.17571,0.000339296,0.000339296,0.000339296
5,14.715,1.06344,1.2425,1.2067,0.45971,0.52998,0.4452,0.39529,0.9839,1.43303,1.22507,0.000424711,0.000424711,0.000424711
6,17.3366,1.12008,1.25978,1.25967,0.63992,0.59475,0.52188,0.45481,0.92444,1.41706,1.22685,0.000509246,0.000509246,0.000509246
7,19.5319,1.1034,1.26384,1.25401,0.47787,0.62814,0.48294,0.41593,0.93964,1.37142,1.2049,0.000592902,0.000592902,0.000592902
8,21.7117,1.03497,1.14532,1.20526,0.61199,0.61135,0.59623,0.51649,0.97632,1.37389,1.16784,0.000675677,0.000675677,0.000675677
9,23.9285,1.03331,1.15063,1.20764,0.67949,0.54409,0.61996,0.55328,0.9616,1.21929,1.15809,0.000757573,0.000757573,0.000757573
10,26.2888,1.0194,1.12611,1.21268,0.82071,0.58849,0.61285,0.53573,0.94498,1.20444,1.18237,0.000838589,0.000838589,0.000838589
11,28.8692,1.0399,1.15121,1.22866,0.48468,0.29992,0.3759,0.3311,1.08777,2.12428,1.35847,0.000918725,0.000918725,0.000918725
12,31.3586,1.05059,1.17757,1.22692,0.24459,0.53791,0.25955,0.22048,1.07082,4.0738,1.39516,0.000997981,0.000997981,0.000997981
13,33.7401,1.01841,1.16799,1.21347,0.43738,0.50708,0.4304,0.37709,1.06632,1.78946,1.28534,0.00104501,0.00104501,0.00104501
14,35.9822,1.02293,1.14663,1.2167,0.53926,0.52832,0.55556,0.49472,0.94899,2.94879,1.25805,0.00103951,0.00103951,0.00103951
15,38.2018,0.99994,1.06102,1.19982,0.56055,0.60552,0.59353,0.52608,0.95464,2.0542,1.3014,0.00103401,0.00103401,0.00103401
16,40.3805,0.98406,1.07577,1.20891,0.5303,0.63742,0.58145,0.50664,0.93676,3.00349,1.3971,0.00102851,0.00102851,0.00102851
17,42.5917,0.99192,1.08906,1.22063,0.57413,0.56016,0.55794,0.49516,0.91578,2.36478,1.30254,0.00102301,0.00102301,0.00102301
18,45.1032,0.97952,1.04928,1.20364,0.61967,0.67261,0.63018,0.55177,0.87039,1.60049,1.19131,0.00101751,0.00101751,0.00101751
19,47.7563,0.95315,1.01306,1.15164,0.44434,0.6068,0.5369,0.48624,0.87649,1.52625,1.17761,0.00101201,0.00101201,0.00101201
20,50.0522,0.97137,1.01646,1.18165,0.74967,0.59299,0.62429,0.56452,0.90437,1.24136,1.19146,0.00100651,0.00100651,0.00100651
21,52.7359,0.97844,1.06576,1.21738,0.85842,0.60178,0.63414,0.58492,0.82417,1.06517,1.11735,0.00100101,0.00100101,0.00100101
22,55.5647,0.9731,0.99325,1.19697,0.61524,0.66612,0.63021,0.54313,0.89587,1.16118,1.16332,0.000995512,0.000995512,0.000995512
23,57.8224,0.94063,0.98812,1.18222,0.84706,0.59787,0.68619,0.59422,0.88883,1.05636,1.16501,0.000990012,0.000990012,0.000990012
24,60.0814,0.91541,0.93271,1.15195,0.80766,0.63913,0.69396,0.6072,0.86425,1.0406,1.14193,0.000984513,0.000984513,0.000984513
25,62.3759,0.95218,0.98469,1.1696,0.69559,0.65554,0.67301,0.59627,0.8074,1.16425,1.1442,0.000979013,0.000979013,0.000979013
26,64.7873,0.91094,0.97566,1.16826,0.74884,0.6429,0.68008,0.59413,0.80888,0.96334,1.12022,0.000973514,0.000973514,0.000973514
27,67.0777,0.90115,0.97323,1.15732,0.6191,0.68933,0.67175,0.58462,0.81975,1.00758,1.10164,0.000968014,0.000968014,0.000968014
28,69.6528,0.87966,0.91485,1.13258,0.58316,0.71235,0.66721,0.59465,0.80957,1.13573,1.10482,0.000962515,0.000962515,0.000962515
29,72.1957,0.8997,0.95753,1.14081,0.80904,0.66739,0.68841,0.62107,0.81923,0.9941,1.12183,0.000957015,0.000957015,0.000957015
30,74.447,0.9224,0.99769,1.17953,0.82638,0.63753,0.67919,0.61089,0.78652,0.95588,1.11278,0.000951516,0.000951516,0.000951516
31,76.805,0.91946,0.95294,1.16831,0.87031,0.6281,0.65845,0.58858,0.78211,1.00759,1.1091,0.000946016,0.000946016,0.000946016
32,79.0516,0.89806,0.91645,1.14017,0.76766,0.63885,0.66848,0.59806,0.767,0.97692,1.09176,0.000940517,0.000940517,0.000940517
33,81.3523,0.89162,0.91921,1.14797,0.8886,0.62728,0.68492,0.59953,0.77376,0.9707,1.05939,0.000935018,0.000935018,0.000935018
34,83.62,0.8563,0.90945,1.10478,0.74085,0.67101,0.70193,0.61999,0.80211,0.9715,1.11125,0.000929518,0.000929518,0.000929518
35,85.848,0.92912,0.94283,1.16159,0.6204,0.67976,0.68743,0.60575,0.79226,0.99122,1.1141,0.000924019,0.000924019,0.000924019
36,88.2332,0.88303,0.96375,1.15193,0.62938,0.67309,0.67774,0.59014,0.79031,1.00068,1.10059,0.000918519,0.000918519,0.000918519
37,90.6935,0.86106,0.88201,1.11978,0.61243,0.65664,0.60707,0.54008,0.78113,1.03579,1.11508,0.00091302,0.00091302,0.00091302
38,92.9765,0.84303,0.88579,1.13867,0.74657,0.60636,0.64221,0.57524,0.80082,1.07584,1.12851,0.00090752,0.00090752,0.00090752
39,95.2865,0.81245,0.8358,1.10386,0.6885,0.65643,0.68408,0.60288,0.78796,0.95711,1.13453,0.000902021,0.000902021,0.000902021
40,97.8452,0.83374,0.88262,1.12073,0.63706,0.69076,0.65422,0.59083,0.7397,0.95414,1.11912,0.000896521,0.000896521,0.000896521
41,100.425,0.80664,0.88281,1.09578,0.61573,0.7157,0.67409,0.60284,0.7414,0.93759,1.07775,0.000891022,0.000891022,0.000891022
42,102.772,0.82415,0.85596,1.10189,0.57759,0.77092,0.68471,0.59455,0.74758,0.92929,1.07205,0.000885523,0.000885523,0.000885523
43,105.03,0.8312,0.84702,1.1183,0.55838,0.71032,0.62105,0.53963,0.75657,0.99979,1.09225,0.000880023,0.000880023,0.000880023
44,107.473,0.81322,0.86388,1.08397,0.74856,0.71763,0.70408,0.6238,0.74161,0.94264,1.07579,0.000874524,0.000874524,0.000874524
45,109.998,0.85229,0.86009,1.11197,0.81064,0.67986,0.72244,0.6156,0.76943,0.98423,1.09516,0.000869024,0.000869024,0.000869024
46,112.324,0.82946,0.83475,1.09609,0.7658,0.68648,0.69747,0.60434,0.78801,0.9935,1.09989,0.000863525,0.000863525,0.000863525
47,114.962,0.84396,0.85169,1.1157,0.80975,0.68523,0.70112,0.61575,0.74794,0.94668,1.08526,0.000858025,0.000858025,0.000858025
48,117.564,0.85526,0.8616,1.11616,0.78558,0.68478,0.70922,0.61747,0.75353,0.92097,1.07949,0.000852526,0.000852526,0.000852526
49,119.868,0.85221,0.84897,1.12097,0.73978,0.69159,0.69225,0.61488,0.74249,0.92489,1.06948,0.000847026,0.000847026,0.000847026
50,122.375,0.83597,0.84715,1.11714,0.83009,0.66762,0.72187,0.62929,0.76362,0.89776,1.07981,0.000841527,0.000841527,0.000841527
51,124.885,0.78936,0.81652,1.09634,0.76395,0.61114,0.71195,0.62741,0.79357,0.98494,1.10178,0.000836027,0.000836027,0.000836027
52,127.393,0.7947,0.79351,1.07197,0.69258,0.69919,0.72384,0.62962,0.73399,0.92811,1.09426,0.000830528,0.000830528,0.000830528
53,130.418,0.79345,0.79351,1.07858,0.83485,0.63048,0.69007,0.60798,0.74091,0.96984,1.08956,0.000825029,0.000825029,0.000825029
54,132.972,0.79116,0.78396,1.08672,0.56414,0.70023,0.66068,0.58818,0.77241,1.10858,1.0979,0.000819529,0.000819529,0.000819529
55,135.439,0.81105,0.81169,1.10215,0.60093,0.70417,0.67504,0.60698,0.74813,1.22628,1.1121,0.00081403,0.00081403,0.00081403
56,137.99,0.80828,0.81001,1.08451,0.64263,0.68952,0.71639,0.62804,0.75982,1.01016,1.09246,0.00080853,0.00080853,0.00080853
57,140.384,0.79671,0.7869,1.08932,0.71544,0.67712,0.71445,0.6286,0.74441,0.9172,1.08102,0.000803031,0.000803031,0.000803031
58,142.77,0.78289,0.81499,1.09638,0.87977,0.60494,0.68715,0.61538,0.73129,0.91819,1.05347,0.000797531,0.000797531,0.000797531
59,145.131,0.83413,0.79937,1.10831,0.79576,0.63317,0.66965,0.59232,0.72908,0.89024,1.06075,0.000792032,0.000792032,0.000792032
60,148.211,0.82182,0.81956,1.09154,0.79184,0.63351,0.70727,0.62721,0.71493,0.87834,1.06217,0.000786532,0.000786532,0.000786532
