epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,9.74931,1.85794,3.22888,2.56532,0.14493,0.53312,0.24947,0.29172,0.2339,1.29914,2.32964,1.70461,0.07171,0.00026664,0.00026664,0.00026664
2,15.1101,1.48901,1.98461,2.07252,0.11595,0.43385,0.53492,0.46799,0.36401,1.22546,1.48085,1.62588,0.07983,0.000544331,0.000544331,0.000544331
3,20.2055,1.39845,1.60624,1.96169,0.11772,0.54517,0.65288,0.61288,0.4468,1.11763,1.30898,1.55547,0.08492,0.000821783,0.000821783,0.000821783
4,25.2186,1.34633,1.43038,1.82093,0.11047,0.64382,0.74911,0.72598,0.53377,1.07027,1.09586,1.44723,0.09491,0.00109882,0.00109882,0.00109882
5,30.3079,1.31541,1.3413,1.75934,0.11209,0.71706,0.75948,0.74833,0.54903,1.02751,1.07992,1.37394,0.09077,0.00110907,0.00110907,0.00110907
6,35.5199,1.24824,1.26468,1.70764,0.10271,0.72858,0.78927,0.75264,0.55869,0.99779,1.07878,1.38238,0.0815,0.00110799,0.00110799,0.00110799
7,40.7754,1.19915,1.18118,1.70294,0.10192,0.77857,0.80773,0.79615,0.58529,1.00536,0.96371,1.33723,0.09192,0.00110666,0.00110666,0.00110666
8,45.997,1.18538,1.17342,1.6921,0.09997,0.74613,0.84207,0.77406,0.56747,0.96624,0.95412,1.3038,0.09494,0.0011051,0.0011051,0.0011051
9,51.0997,1.14956,1.09244,1.62799,0.09678,0.7402,0.8326,0.79413,0.59735,0.92142,0.92553,1.28498,0.08794,0.0011033,0.0011033,0.0011033
10,56.2036,1.13375,1.07554,1.59845,0.09495,0.77342,0.81541,0.80855,0.59521,0.9343,0.87134,1.28619,0.09705,0.00110126,0.00110126,0.00110126
11,61.6392,1.09714,1.03332,1.54542,0.09599,0.71933,0.84447,0.79682,0.59095,0.95858,0.90088,1.28435,0.10168,0.00109898,0.00109898,0.00109898
12,67.0084,1.08397,0.992,1.53841,0.09123,0.74937,0.86491,0.81407,0.61687,0.91021,0.88554,1.25498,0.0973,0.00109647,0.00109647,0.00109647
13,72.3994,1.09552,0.99502,1.50451,0.09151,0.76193,0.86242,0.81551,0.6047,0.89409,0.85204,1.23971,0.08545,0.00109372,0.00109372,0.00109372
14,77.8638,1.08233,0.95772,1.48,0.09279,0.72475,0.86239,0.80358,0.61007,0.88744,0.88902,1.25272,0.09343,0.00109074,0.00109074,0.00109074
15,83.0163,1.0558,0.9628,1.4826,0.08328,0.73463,0.79537,0.79971,0.60388,0.88257,0.94722,1.22696,0.09466,0.00108753,0.00108753,0.00108753
16,88.3646,1.04497,0.94832,1.47804,0.08878,0.79776,0.82445,0.8323,0.61492,0.91255,0.81453,1.22312,0.09109,0.00108408,0.00108408,0.00108408
17,93.7148,1.06245,0.94311,1.47717,0.09495,0.74657,0.8726,0.81492,0.62268,0.86031,0.80622,1.20266,0.08734,0.00108041,0.00108041,0.00108041
18,99.3273,1.05974,0.94723,1.47256,0.09185,0.74685,0.85433,0.8181,0.61262,0.84128,0.8237,1.19631,0.08433,0.00107651,0.00107651,0.00107651
19,105.057,1.05011,0.92386,1.4181,0.09359,0.8136,0.87074,0.83595,0.63414,0.85782,0.78827,1.20573,0.10102,0.00107238,0.00107238,0.00107238
20,111.02,1.06357,0.93859,1.40994,0.09518,0.76515,0.82488,0.84363,0.63459,0.86645,0.81644,1.21902,0.09869,0.00106803,0.00106803,0.00106803
21,116.514,1.02914,0.90955,1.40781,0.09463,0.75219,0.83594,0.81854,0.624,0.83243,0.85347,1.20655,0.09665,0.00106345,0.00106345,0.00106345
22,122.884,1.02712,0.91991,1.4185,0.09126,0.77277,0.86717,0.83752,0.62219,0.86738,0.80815,1.21384,0.09939,0.00105866,0.00105866,0.00105866
23,128.757,1.03361,0.88727,1.39639,0.09204,0.78108,0.80675,0.84003,0.62766,0.8846,0.82761,1.22731,0.07721,0.00105365,0.00105365,0.00105365
