epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.51191,1.60114,2.93846,1.5082,0.35403,0.47147,0.35383,0.29308,1.36028,2.45827,1.51523,0.00026664,0.00026664,0.00026664
2,15.0562,1.34032,1.74473,1.40464,0.43473,0.45269,0.45057,0.3485,1.43649,1.86485,1.53222,0.000544257,0.000544257,0.000544257
3,22.016,1.28669,1.61842,1.3804,0.42619,0.50216,0.40905,0.32745,1.40539,2.32705,1.50537,0.000821337,0.000821337,0.000821337
4,28.2854,1.27325,1.59734,1.39961,0.50168,0.43839,0.42404,0.32359,1.57926,1.98737,1.58715,0.00109747,0.00109747,0.00109747
5,34.9046,1.26886,1.57567,1.41104,0.41107,0.52578,0.41563,0.32324,1.52406,7.58505,1.76111,0.00110666,0.00110666,0.00110666
6,41.2128,1.2443,1.53271,1.37002,0.37207,0.50983,0.3598,0.28403,1.37599,2.58012,1.55122,0.00110423,0.00110423,0.00110423
7,47.4952,1.23541,1.50226,1.38545,0.56419,0.51297,0.50105,0.39312,1.32583,1.54444,1.4379,0.00110126,0.00110126,0.00110126
8,54.7406,1.20907,1.47428,1.35601,0.53967,0.54591,0.49386,0.38102,1.3746,1.77359,1.52634,0.00109776,0.00109776,0.00109776
9,61.6249,1.22296,1.50595,1.36992,0.54332,0.53763,0.48849,0.37577,1.34367,1.67969,1.50118,0.00109372,0.00109372,0.00109372
10,68.6499,1.19372,1.49186,1.37012,0.53567,0.54079,0.50457,0.39585,1.26126,1.54125,1.43391,0.00108916,0.00108916,0.00108916
11,75.7332,1.12114,1.40046,1.31857,0.49193,0.54847,0.47817,0.38051,1.23351,1.55447,1.37557,0.00108408,0.00108408,0.00108408
12,83.0189,1.15032,1.39454,1.33423,0.54075,0.56117,0.50395,0.41319,1.19493,1.5276,1.37013,0.00107849,0.00107849,0.00107849
13,90.1859,1.11599,1.38294,1.31817,0.52616,0.58156,0.49894,0.39409,1.23764,1.73685,1.45483,0.00107238,0.00107238,0.00107238
14,97.592,1.07555,1.30036,1.27232,0.54738,0.55652,0.50953,0.41362,1.2127,1.49292,1.40067,0.00106577,0.00106577,0.00106577
15,104.94,1.10232,1.3705,1.29608,0.449,0.56917,0.48123,0.39003,1.26524,1.5821,1.4308,0.00105866,0.00105866,0.00105866
16,112.196,1.07988,1.31843,1.28299,0.49327,0.5804,0.49509,0.40807,1.24334,1.53501,1.4185,0.00105106,0.00105106,0.00105106
17,119.282,1.08215,1.3407,1.27542,0.51313,0.47478,0.46067,0.36944,1.21576,1.50352,1.35925,0.00104298,0.00104298,0.00104298
18,126.51,1.09086,1.33268,1.28092,0.51995,0.60173,0.52416,0.42213,1.23012,1.39788,1.38938,0.00103442,0.00103442,0.00103442
19,135.851,1.05753,1.27549,1.25452,0.51147,0.59157,0.50507,0.40656,1.19293,1.42934,1.38202,0.00102539,0.00102539,0.00102539
20,143.102,1.06466,1.33043,1.2817,0.49302,0.58239,0.47159,0.39173,1.21621,1.60951,1.39065,0.0010159,0.0010159,0.0010159
21,149.561,1.04898,1.28591,1.26502,0.47398,0.59845,0.50687,0.40919,1.21312,1.50623,1.3503,0.00100597,0.00100597,0.00100597
22,156.198,1.03482,1.28265,1.25859,0.51758,0.57323,0.52036,0.41982,1.16364,1.46552,1.35222,0.000995597,0.000995597,0.000995597
23,162.917,1.02067,1.23579,1.23532,0.52702,0.62826,0.51318,0.40807,1.15835,1.42853,1.33965,0.000984795,0.000984795,0.000984795
24,169.41,1.04659,1.29837,1.26016,0.54538,0.58961,0.53059,0.43359,1.1372,1.41774,1.35119,0.000973575,0.000973575,0.000973575
25,176.028,1.03536,1.26689,1.25793,0.49044,0.60538,0.50834,0.42314,1.13845,1.47404,1.3343,0.000961948,0.000961948,0.000961948
26,182.549,0.99303,1.23729,1.22084,0.54839,0.54857,0.51832,0.41793,1.13638,1.60031,1.29688,0.000949925,0.000949925,0.000949925
27,189.371,1.02901,1.24865,1.25967,0.55412,0.60794,0.55837,0.45328,1.14013,1.41531,1.33506,0.000937518,0.000937518,0.000937518
28,196.138,1.01837,1.27457,1.2539,0.52012,0.60303,0.52291,0.42634,1.17386,1.45989,1.33269,0.00092474,0.00092474,0.00092474
29,202.847,1.00134,1.23229,1.24062,0.50805,0.60732,0.51025,0.42922,1.1366,1.39021,1.32724,0.000911603,0.000911603,0.000911603
30,209.395,0.98502,1.21962,1.20489,0.53872,0.57836,0.51305,0.42027,1.1293,1.49829,1.30341,0.00089812,0.00089812,0.00089812
31,216.081,0.97936,1.18797,1.21554,0.50761,0.6409,0.54082,0.43943,1.13798,1.36425,1.28787,0.000884305,0.000884305,0.000884305
32,223.109,0.97438,1.20335,1.22473,0.53224,0.61686,0.51773,0.42138,1.08746,1.38997,1.28927,0.00087017,0.00087017,0.00087017
33,229.597,0.95503,1.17399,1.20237,0.53814,0.62953,0.52671,0.42568,1.12302,1.37702,1.31639,0.00085573,0.00085573,0.00085573
