epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.38876,1.71513,3.12366,1.56809,0.03228,0.33945,0.13724,0.11916,1.32837,3.4446,1.41119,0.00026664,0.00026664,0.00026664
2,11.6077,1.51711,2.28126,1.49217,0.02957,0.45126,0.17237,0.13478,1.43788,3.26593,1.45153,0.000544257,0.000544257,0.000544257
3,15.8274,1.45574,2.02456,1.4781,0.35513,0.17398,0.25339,0.19825,1.59962,2.68911,1.58134,0.000821337,0.000821337,0.000821337
4,19.9147,1.42227,1.88591,1.46089,0.28102,0.40799,0.27624,0.20269,1.62089,2.39319,1.57985,0.00109747,0.00109747,0.00109747
5,23.9715,1.40804,1.8555,1.50528,0.48573,0.45778,0.41032,0.30563,1.51639,1.9888,1.57964,0.00110666,0.00110666,0.00110666
6,28.1728,1.39548,1.83102,1.50717,0.50853,0.50637,0.44212,0.31896,1.48009,1.98307,1.51853,0.00110423,0.00110423,0.00110423
7,32.3594,1.33906,1.74403,1.44907,0.44477,0.5555,0.46373,0.35989,1.41889,1.76474,1.53918,0.00110126,0.00110126,0.00110126
8,36.5437,1.35007,1.73643,1.46009,0.46055,0.50104,0.45771,0.3635,1.41355,1.89894,1.54589,0.00109776,0.00109776,0.00109776
9,40.747,1.31737,1.71432,1.43105,0.48246,0.50716,0.47243,0.3843,1.40183,1.77733,1.51525,0.00109372,0.00109372,0.00109372
10,44.9599,1.27489,1.66668,1.42243,0.51202,0.5147,0.46717,0.37659,1.41659,1.85626,1.52285,0.00108916,0.00108916,0.00108916
11,49.3238,1.24864,1.6103,1.39318,0.54988,0.51019,0.47746,0.3635,1.33546,1.65805,1.45824,0.00108408,0.00108408,0.00108408
12,53.5824,1.25493,1.67641,1.41191,0.48482,0.54603,0.48793,0.3821,1.34697,1.78148,1.41663,0.00107849,0.00107849,0.00107849
13,57.8339,1.25937,1.6333,1.42387,0.44242,0.55104,0.46538,0.3815,1.29812,1.74407,1.44996,0.00107238,0.00107238,0.00107238
14,62.0959,1.27908,1.64294,1.42721,0.50595,0.55389,0.4811,0.39159,1.32584,1.77709,1.48709,0.00106577,0.00106577,0.00106577
15,66.3223,1.22163,1.61887,1.37489,0.5486,0.53135,0.48081,0.38027,1.4036,1.74777,1.45099,0.00105866,0.00105866,0.00105866
16,70.6369,1.23586,1.61084,1.40336,0.56004,0.52,0.50623,0.40852,1.30515,1.6142,1.47362,0.00105106,0.00105106,0.00105106
17,74.9058,1.26728,1.61496,1.41472,0.49658,0.55202,0.49057,0.40659,1.25351,1.7025,1.43563,0.00104298,0.00104298,0.00104298
18,79.1333,1.23124,1.59717,1.37909,0.57305,0.5768,0.50368,0.40139,1.29256,1.56113,1.42073,0.00103442,0.00103442,0.00103442
19,83.4699,1.22207,1.57225,1.37093,0.52818,0.54898,0.51258,0.40582,1.35469,1.62426,1.54237,0.00102539,0.00102539,0.00102539
20,87.8905,1.21781,1.56385,1.37129,0.50595,0.53001,0.49959,0.39738,1.31366,1.75669,1.48602,0.0010159,0.0010159,0.0010159
